,dialogue_with_speaker
430,"Yoren:  Look at me. Look at me! Do you remember me now, boy, eh? Remember me? There's a bright boy. You'll be coming with me, boy, and you'll be keeping your mouth shut."
431,"NARRATOR:Yoren takes Arya with him away from the mob and into a flight of stairs; on the courtyard, Sansa faints."
432,"Yoren:  Keep your mouth shut, boy. (takes out a knife)"
433,Arya Stark:  l'm not a boy!
434,"Yoren:  You're not a smart boy, is that what you're trying to say? Do you want to live, boy?! (starts cutting Arya’s hair as the screams and shouts from the crowd are heard above) North, boy, we're going north."
435,NARRATOR:------------------------------------------
436,"NARRATOR:At Winterfell, Bran has a dream in which he can walk and sees a three-eyed raven. He then talks about this dream with Osha."
437,"Bran Stark:  lt had three eyes. lt told me to come with him, so l did. We went down into the crypts and my father was there."
438,"Osha:  Your father's not down there, little lord. Not for many years yet."
439,Bran Stark:  You're afraid. Just like Hodor.
440,Osha:  l'm not afraid of some hole in the ground.
441,Bran Stark:  You've lived beyond the Wall. What are you scared of? l'm a crippled boy and l'm willing to go.
442,NARRATOR:Osha takes Bran to the crypts. She carries him with her arms while he lights the way with a torch.
443,"Bran Stark:  That's my grandfather, Lord Rickard. He was burned alive by the Mad King, Aerys. That's Lyanna, my father's sister. King Robert was supposed to marry her, but Rhaegar Targaryen kidnapped her. Robert started a war to win her back. He killed Rhaegar, but she died anyway. That's where l saw Father."
444,Osha:  You see? He's not here.
445,NARRATOR:A loud roar is heard and a shadow moves in front of them. A direwolf runs towards them; Osha falls to the ground with him. We see Shaggydog barking at them viciously.
446,"Rickon Stark:  Here, Shaggydog."
447,Bran Stark:  Rickon!
448,Osha:  That beast is supposed to be chained in the kennels!
449,Rickon Stark:  He doesn't like chains.
450,Bran Stark:  What are you doing down here? Come back up with us.
451,"Rickon Stark:  No, l came to see Father."
452,Bran Stark:  How many times have l told you? He's in King's Landing with Sansa and Arya.
453,Rickon Stark:  He was down here. l saw him.
454,Bran Stark:  Saw him when?
455,"Rickon Stark:  Last night, when l was sleeping. Here, Shaggydog."
456,"NARRATOR:Rickon leaves with Shaggydog, while Osha looks puzzled at Bran. We cut to a shot of her carrying him outside."
457,"Osha:  You both miss him. lt's only natural he should be in your thoughts and dreams, but that doesn't mean that –"
458,Maester Luwin:  Bran…
459,NARRATOR:--------------------------------------
460,NARRATOR:Catelyn Stark walks alone through the Stark camp. Several bannermen bow to her respectfully as she passes.
461,Several Stark Bannermen:  My lady. My lady. My lady.
462,"NARRATOR:She reaches a small forest outside camp and collapses in grief by one of the trees, crying and sobbing. She hears some screams and the sound of a sword slashing wood nearby. As she gets closer, she realizes it’s Robb, fully armoured, slashing his sword against a tree while crying."
463,Catelyn Stark:  Robb. Robb! You've ruined your sword.
464,"NARRATOR:Robb drops his sword to the ground and goes to Catelyn. She hugs him and caresses his neck, trying to console him."
465,Catelyn Stark:  Shh! Shh! Shh!
466,Robb Stark:  l'll kill them all. Every one of them. l will kill them all.
467,Catelyn Stark:  My boy. They have your sisters. We have to get the girls back. And then we will kill them all.
468,NARRATOR:-------------------------------------
469,"NARRATOR:At the Throne Room on the Red Keep, Marillion the bard is singing a song for Joffrey and his retinue. Cercei stands by his side, while Sansa overlooks the scene from one of the colonnades."
470,Marillion:  (singing)
471,"NARRATOR:The boar's great tusks, they boded ill"
472,NARRATOR:For good King Robert's health
473,NARRATOR:And the beast was every bit as fat
474,NARRATOR:As Robert was himself
475,"NARRATOR:But our brave king cried,"
476,"NARRATOR:""Do your worst!"
477,NARRATOR:l'll have your ugly head!
478,NARRATOR:You're nowhere near as murd'rous as
479,"NARRATOR:the lion in my bed"""
480,NARRATOR:King Robert lost his battle and
481,"NARRATOR:He failed his final test,"
482,"NARRATOR:The lion ripped his balls off,"
483,NARRATOR:And the boar did all the rest.
484,Joffrey Baratheon:  Very amusing. lsn't it a funny song? Thank you for your rendition. l imagine it was even better received at that tavern.
485,"Marillion:  l'm so sorry, Your Grace. l'll never sing it again, l swear."
486,Marillion:  Your Grace?
487,"NARRATOR:Sansa looks at Joffrey, despondent."
488,"Joffrey Baratheon:  Fingers or your tongue? lf you got to keep one, which would it be? Or l could just cut your throat."
489,"Marillion:  Every man needs hands, Your Grace."
490,Joffrey Baratheon:  Good. Tongue it is.
491,"Marillion:  Your Grace, please. l won't sing, Your Grace."
492,"Joffrey Baratheon:  Ser llyn, who better than you to carry out the sentence?"
493,"Marillion:  l beg you! Please, no. No!"
494,NARRATOR:Ilyn Payne marches towards the fire to heat up his dagger.
495,"Marillion:  Your Grace, please. l beg you, l will never sing again! (screaming) No!"
496,"Joffrey Baratheon:  l'm done for the day. l'll leave the rest of the matters to you, Mother."
497,"Marillion:  (screaming) Your Grace, please!"
498,"NARRATOR:As Joffrey leaves with Meryn Trant and the Hound, he passes by Sansa. Marillion is still screaming and begging in the background."
499,Joffrey Baratheon:  You look quite nice.
500,"Sansa Stark:  Thank you, my lord."
501,Joffrey Baratheon:  Your Grace. l'm King now.
502,Marillion:  (screaming) Stop! No!
503,Joffrey Baratheon:  Walk with me. l want to show you something.
504,"Sandor Clegane:  Do as you're bid, child."
505,"NARRATOR:Joffrey and Sansa are outside, walking past across a row of spears in the Red Keep. Trant and Clegane follow behind them."
506,"Joffrey Baratheon:  And as soon as you've had your blood, l'll put a son in you. Mother says that shouldn't be long."
507,NARRATOR:The pikes have impaled heads on them. Sansa looks away.
508,"Sansa Stark:  No! Please, no!"
509,Joffrey Baratheon:  (pointing at one of the heads) This one's your father. This one here. Look at it and see what happens to traitors.
510,Sansa Stark:  You promised to be merciful.
511,Joffrey Baratheon:  l was. l gave him a clean death. Look at him.
512,"Sansa Stark:  Please let me go home. l won't do any treason, l swear –"
513,"Joffrey Baratheon:  Mother says l'm still to marry you. So you'll stay here, and obey. Look at him!"
514,NARRATOR:Sansa looks up at the head of her father.
515,Joffrey Baratheon:  Well?
516,Sansa Stark:  How long do l have to look?
517,Joffrey Baratheon:  As long as it pleases me. Do you want to see the rest?
518,Sansa Stark:  lf it please Your Grace.
519,"Joffrey Baratheon:  That's your Septa there. (shot of the impaled head of a woman with the traditional Septa headscarf) l'll tell you what, l'm going to give you a present. After l raise my armies and kill your traitor brother, l'm going to give you his head as well."
520,"Sansa Stark:  Or maybe he'll give me yours. (looks defiantly at Joffrey, who cowers)"
521,"Joffrey Baratheon:  My mother tells me a king should never strike his lady. Ser Meryn.Ser Meryn strikes Sansa repeatedly with the back of his (armoured) hand, leaving her lip bloodied. Sansa notices the stone bridge Joffrey is on leads to a street some feet below. She moves forward to lunge him from the edge, but she’s stopped by the Hound."
522,"Sandor Clegane:  Here, girl. (cleans her bloody lip with a rag)"
523,Joffrey Baratheon:  Will you obey now? Or do you need another lesson? l'll look for you in court.
524,"Sandor Clegane:  Save yourself some pain, girl. Give him what he wants."
525,NARRATOR:Sansa tries to give him is handkerchief back.
526,Sandor Clegane:  You'll be needing that again.
527,"NARRATOR:Sandor leaves, leaving Sansa alone at the bridge. She looks at the heads atop the pikes and cries."
528,NARRATOR:--------------------------------------------------------
529,NARRATOR:War meeting at the Stark camp. They sit at the table at night by torchlight.
530,Robb Stark:  Renly is not the king.
531,"Jonos Bracken:  You cannot mean to hold to Joffrey, my lord. He put your father to death."
532,"Robb Stark:  That doesn't make Renly king. He's Robert's youngest brother. lf Bran can't be Lord of Winterfell before me, Renly can't be king before Stannis."
533,Jonos Bracken:  Do you mean to declare us for Stannis?
534,Galbart Glover:  Renly is not right! lf we put ourselves behind Stannis…
535,Rickard Karstark:  l'll have peace on those terms. They can keep their Red Castle and their iron chair too. (bows to Robb and extends him his sword) The King in the North!
536,"Theon Greyjoy:  Am l your brother, now and always?"
537,Robb Stark:  Now and always.
538,"Theon Greyjoy:  (takes out his sword, bows to Robb) My sword is yours in victory and defeat, from this day until my last day."
539,Greatjon Umber:  The King in the North!
540,All:  (chanting)  The King in the North! The King in the North! The King in the North! The King in the North!
541,NARRATOR:They all take out their swords and swear fealty to Robb as Catelyn looks wearily at the whole scene.
542,All:  (chanting)  The King in the North! The King in the North! The King in the North! The King in the North!
543,"NARRATOR:Catelyn goes to the outskirts of their camp, to the dungeons where prisoners are being kept."
544,Stark Guard:  Lady Stark.
545,Catelyn Stark:  l want to see him. Now! Leave us.
546,"NARRATOR:They walk for a while until they reach a single prisoner (Jaime), kept away far from the rest."
547,Catelyn Stark:  Leave us. (the guards leave)
548,"Jaime Lannister:  You look lovely tonight, Lady Stark. Widowhood becomes you. (Catelyn grabs a large rock from the ground)  Your bed must be lonely. ls that why you came? l'm not at my best, but l think l could be of service. You slip out of that gown and we'll see if l'm up to it. (She marches towards him and hits the rock against his forehead)   Oh, l do like a violent woman."
549,"Catelyn Stark:  l will kill you tonight, Ser. Pack your head in a box and send it to your sister."
550,"Jaime Lannister:  Let me show you how. Hit me again, over the ear. And again and again. You're stronger than you look, it shouldn't take long."
551,"Catelyn Stark:  That is what you want the world to believe, isn't it? That you don't fear death."
552,"Jaime Lannister:  But l don't, my lady. The dark is coming for all of us. Why cry about it?"
553,"Catelyn Stark:  Because you are going to the deepest of the seven hells, if the gods are just."
554,Jaime Lannister:  What gods are those? The trees your husband prayed to? Where were the trees when his head was getting chopped off? lf your gods are real and if they are just why is the world so full of injustice?
555,Catelyn Stark:  Because of men like you.
556,Jaime Lannister:  There are no men like me. Only me.
557,Catelyn Stark:  My son Bran. How did he come to fall from that tower?
558,Jaime Lannister:  l pushed him out the window.
559,Catelyn Stark:  Why?
560,Jaime Lannister:  I hoped the fall would kill him.
561,Catelyn Stark:  Why?
562,Jaime Lannister:  You should get some sleep. lt's going to be a long war. (Catelyn drops the rock and goes away)
563,NARRATOR:-----------------------------------------
564,"NARRATOR:Cersei and Lancel are having one of their rendezvous on her bedchamber. Cersei is reading a message while Lancel speaks, naked."
565,"Lancel Lannister:  l can't believe we're actually at war. Was it this exciting last time, when you were young? What does it say? Have we captured Robb Stark yet? What's our next move?"
566,Cersei Lannister:  Stop talking. Get back into bed.
567,NARRATOR:-----------------------------------------
568,"NARRATOR:Back in the Riverlands, we sit with the Lannister war meeting. Tywin, Tyrion and Kevan are in assistance."
569,Tywin Lannister:  They have my son.
570,Tyrion Lannister:  The Stark boy appears to be less green than we'd hoped.
571,Leo Lefford:  l've heard his wolf killed a dozen men and as many horses.
572,Addam Marbrand:  ls it true about Stannis and Renly?
573,"Kevan Lannister:  Both Baratheon brothers have taken up against us. Jaime captured, his armies scattered. lt's a catastrophe. Perhaps we should sue for peace."
